IUPAC,VGA(EY Lab) (1ug/ml),VGA(EY Lab) (10ug/ml),VGA(EY Lab) (100ug/ml)
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,10.252324999999997,7.201375000000002,50.84875
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,9.6281,2.762475,38.42285000000001
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,6.618924999999997,7.905325,96.63867500000002
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,11.310924999999996,15.626175000000005,150.23695
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,12.72325,-3.7366000000000015,10.491224999999988
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,9.388424999999998,3.193125,170.838825
Gal(b1-4)GlcNAc(b1-Sp0,3.5655,6.5151,366.29310000000015
Gal(b1-4)GlcNAc(b1-Sp8,9.07185,2.922575,23.59145000000001
Gal(b1-4)GlcNAc(b1-Sp23,8.94445,6.09455,63.4421
Gal(b1-4)Glc(b1-Sp0,14.0429,9.417924999999997,57.26405
Gal(b1-4)Glc(b1-Sp8,10.225625,9.029549999999997,70.82910000000003
GlcNAc(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,7.409624999999997,9.88365,25.446225
GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp8,4.015999999999999,4.306424999999999,161.91122499999997
GlcNAc(b1-2)Gal(b1-3)GalNAc(a1-Sp8,5.33875,9.084900000000003,23.8793
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp8,3.0192750000000004,14.501,6.0776499999999976
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp14,6.392249999999998,9.032375,7.306899999999999
GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp8,9.291225,6.988950000000003,5.549275
GlcNAc(b1-3)GalNAc(a1-Sp8,3.684375,5.684400000000003,60.21070000000002
GlcNAc(b1-3)GalNAc(a1-Sp14,7.429199999999999,2.375375,19.521625
