IUPAC,CTB 0.001ug/ml,CTB 0.01ug/ml,CTB 0.1ug/ml,CTB 1ug/ml,CTB 10ug/ml
Gal(b1-4)GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,20.18891981,18.88648112,8.519376449,17.30160178,82.12391036
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp8,130.884633,67.04022578,33.28968855,91.85078616,50.40870616
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp14,90.48455555,51.47614191,100.5268739,116.9408112,49.10663052
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,12.29866811,93.13486254,69.85058437,73.53836828,41.82184508
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,42.39506611,86.79166268,59.09132838,14.06215913,28.79539721
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,53.61182153,23.72512225,53.90463549,21.58706134,20.98572158
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,82.80905437,39.49226186,50.36009766,29.60276796,52.10344296
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,44.60827811,72.0539797,57.28460437,2.077795974,24.22756531
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,36.75787965,24.41059138,24.31143028,18.78907675,96.73695809
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,58.64403813,34.41344785,63.85017653,56.63835475,43.79058483
Gal(b1-4)GlcNAc(b1-Sp0,72.88439737,69.12409683,30.57818296,101.6386669,25.20928641
Gal(b1-4)GlcNAc(b1-Sp8,37.23315107,13.35507784,79.55492857,22.08052196,43.60103198
Gal(b1-4)GlcNAc(b1-Sp23,27.39943007,33.76594611,8.578449368,38.23665532,23.84575111
Gal(b1-4)Glc(b1-Sp0,71.10533207,43.31065422,85.80091609,77.71386687,77.00246757
Gal(b1-4)Glc(b1-Sp8,37.23790085,46.48312535,7.905926878,12.52411585,115.2569663
GlcNAc(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,25.50767186,51.62299129,39.3138044,43.14268435,274.5818848
GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp8,81.19441949,54.00435638,38.09153686,38.56667021,94.08108339
GlcNAc(b1-2)Gal(b1-3)GalNAc(a1-Sp8,38.65570574,38.95279496,36.36627519,68.50050444,70.37384169
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp8,52.48102217,67.43557767,48.8144559,20.62513124,40.08542538
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp14,92.5354682,77.22598809,54.24673766,49.53703818,17.20362133
GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp8,16.8709535,43.2588213,50.51120154,39.54172433,209.0443068
GlcNAc(b1-3)GalNAc(a1-Sp8,16.59168777,109.4801451,83.02075293,5.923450894,34.834146
GlcNAc(b1-3)GalNAc(a1-Sp14,60.03181102,41.97310337,16.43148409,51.99000464,32.32622094
GlcNAc(b1-3)Gal(b1-Sp8,29.69021333,13.90017016,74.90831002,7.285370654,25.57865236
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,85.57973857,153.9669967,39.8284757,63.3938019,48.09943343
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,28.70535108,36.06388465,20.41960885,37.87231032,21.90332046
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,25.99210134,76.65761145,41.10259491,50.69262524,66.00873758
GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,13.31749604,36.7068545,15.88117644,71.42921765,77.03846252
GlcNAc(b1-4)(a1-MDPLys,19.9874226,75.31002803,37.66990448,26.04290906,36.18215531
GlcNAc(b1-6)[GlcNAc(b1-4)]GalNAc(a1-Sp8,18.20920125,65.15231697,21.85297899,70.67020702,34.94645046
GlcNAc(b1-4)Gal(b1-4)GlcNAc(b1-Sp8,36.62361019,14.79586007,32.78336789,58.70131417,11.7289588
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,23.12565374,29.43665029,40.9565688,27.76168859,114.5449121
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,20.08949569,61.05186077,15.49125892,30.05597792,50.54255181
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,28.28575612,40.14370968,37.34675601,40.48824274,82.3043469
GlcNAc(b1-6)GalNAc(a1-Sp8,43.11292934,67.37995852,66.45337407,59.36786058,54.04905342
GlcNAc(b1-6)GalNAc(a1-Sp14,41.2420908,124.6108199,25.65417771,58.71144065,51.72944337
GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-Sp8,36.51445365,14.77434485,55.49746312,48.85890793,40.63014014
Glc(a1-4)Glc(b1-Sp8,49.7163127,92.03639765,64.1743096,58.55928033,40.77230543
Glc(a1-4)Glc(a1-Sp8,32.00262193,38.5322019,25.57588146,10.45969757,911.8545495
Glc(a1-6)Glc(a1-6)Glc(b1-Sp8,48.591178,18.30814997,56.84546621,16.72263532,18.10452806
